                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.8693,                 2.0272,                 1.7591,                   0.42,                0.18551,                0.13581,                0.06995,                 1.7228,                 2.1755,                 1.7475,              0.0011559,              0.0011559,              0.0011559
                     78,                 1.8797,                 2.0752,                  1.777,                0.39031,                0.18073,                0.12494,                0.06348,                 1.7493,                 2.1028,                   1.74,              0.0011547,              0.0011547,              0.0011547
                     79,                 1.8278,                 2.0007,                 1.7238,                 0.4324,                0.16866,                0.13035,                0.06404,                 1.7767,                 2.1701,                 1.7633,              0.0011535,              0.0011535,              0.0011535
                     80,                 1.8527,                 2.0481,                 1.7861,                0.40827,                0.16885,                0.12605,                  0.066,                 1.7133,                 2.1151,                 1.7368,              0.0011522,              0.0011522,              0.0011522
                     81,                 1.8698,                  2.018,                 1.7264,                0.18245,                 0.1867,                0.14733,                0.07169,                 1.7383,                 2.0861,                 1.7361,               0.001151,               0.001151,               0.001151
                     82,                 1.8301,                 2.0024,                  1.744,                0.43848,                0.18035,                 0.1536,                0.07882,                 1.7497,                  2.001,                 1.7381,              0.0011498,              0.0011498,              0.0011498
                     83,                  1.843,                 1.9945,                 1.7325,                0.49039,                0.19345,                0.15793,                0.08164,                 1.6585,                 2.0177,                 1.7221,              0.0011485,              0.0011485,              0.0011485
                     84,                 1.7925,                 1.9667,                  1.732,                0.41556,                0.21502,                0.14912,                0.07396,                 1.6942,                 2.0126,                 1.7247,              0.0011473,              0.0011473,              0.0011473
                     85,                 1.8268,                 1.9649,                 1.7296,                0.44007,                0.19307,                0.14129,                0.07333,                 1.7441,                 2.1595,                 1.7581,              0.0011461,              0.0011461,              0.0011461
                     86,                 1.7905,                 1.9672,                 1.7059,                0.18424,                0.19958,                0.14684,                0.07321,                 1.7223,                 2.1262,                 1.7277,              0.0011448,              0.0011448,              0.0011448
                     87,                 1.8031,                 1.9741,                 1.7188,                0.16585,                0.20728,                0.13432,                 0.0708,                 1.7138,                 2.3775,                 1.7453,              0.0011436,              0.0011436,              0.0011436
                     88,                 1.8176,                 1.9915,                 1.6819,                0.48157,                0.21131,                0.14495,                0.07237,                 1.7272,                 2.0992,                 1.7176,              0.0011423,              0.0011423,              0.0011423
                     89,                 1.7958,                 1.9663,                 1.7114,                0.68827,                0.20481,                0.14906,                0.07273,                 1.7989,                 2.1228,                 1.7761,              0.0011411,              0.0011411,              0.0011411
                     90,                 1.7836,                 1.9494,                 1.7074,                0.20717,                0.22152,                0.15805,                0.07571,                 1.7748,                 2.0593,                 1.7646,              0.0011399,              0.0011399,              0.0011399
                     91,                 1.7468,                 1.8968,                 1.7121,                0.24609,                0.21618,                0.17431,                0.09249,                 1.6268,                 1.8695,                 1.6648,              0.0011386,              0.0011386,              0.0011386
                     92,                 1.7461,                 1.8789,                 1.7077,                0.69604,                0.19677,                0.15645,                0.08166,                 1.6856,                 2.0409,                 1.7173,              0.0011374,              0.0011374,              0.0011374
                     93,                 1.7689,                 1.9089,                 1.6921,                0.46864,                0.23924,                0.16507,                0.08583,                  1.676,                 1.9211,                 1.6871,              0.0011362,              0.0011362,              0.0011362
                     94,                 1.7546,                 1.8634,                 1.6756,                0.47272,                0.19465,                0.18351,                 0.0997,                 1.6209,                 1.9396,                 1.6657,              0.0011349,              0.0011349,              0.0011349
                     95,                 1.7111,                 1.8235,                 1.6516,                0.44865,                0.19005,                0.16838,                0.08626,                  1.661,                 2.0047,                 1.6826,              0.0011337,              0.0011337,              0.0011337
                     96,                 1.7692,                 1.8446,                 1.6701,                0.17895,                0.21008,                0.14271,                0.07025,                 1.7245,                 2.2751,                  1.709,              0.0011324,              0.0011324,              0.0011324
                     97,                 1.7557,                 1.8675,                 1.6674,                0.25439,                0.19907,                0.15882,                0.08198,                 1.6867,                 1.9502,                 1.6891,              0.0011312,              0.0011312,              0.0011312
                     98,                 1.7501,                 1.8783,                  1.691,                0.44731,                0.20537,                0.16152,                0.08599,                 1.6479,                 1.9505,                  1.683,                0.00113,                0.00113,                0.00113
                     99,                 1.7204,                 1.8653,                 1.6322,                 0.4419,                0.18855,                0.15327,                0.07634,                 1.7351,                 2.2282,                 1.6975,              0.0011287,              0.0011287,              0.0011287
                    100,                 1.7476,                 1.8737,                  1.666,                0.26427,                0.20693,                 0.1695,                0.09613,                 1.6093,                 1.9586,                 1.6589,              0.0011275,              0.0011275,              0.0011275
                    101,                 1.7345,                 1.8087,                 1.6479,                0.21057,                0.20585,                0.18742,                0.09557,                 1.6848,                 1.8832,                 1.6822,              0.0011263,              0.0011263,              0.0011263
                    102,                 1.7083,                 1.7494,                 1.6045,                0.51401,                0.21771,                0.18635,                0.10508,                 1.5842,                 1.9901,                 1.6383,               0.001125,               0.001125,               0.001125
                    103,                 1.6867,                 1.7693,                 1.6239,                0.49363,                0.22604,                0.18244,                0.09516,                 1.6636,                 1.8875,                 1.6768,              0.0011238,              0.0011238,              0.0011238
                    104,                 1.7377,                 1.8092,                 1.6674,                0.27993,                0.18925,                0.18674,                0.09977,                 1.6427,                 1.8953,                  1.663,              0.0011225,              0.0011225,              0.0011225
                    105,                 1.7021,                 1.7597,                 1.6054,                0.48101,                 0.2526,                0.19309,                0.10379,                 1.6276,                 1.8796,                 1.6516,              0.0011213,              0.0011213,              0.0011213
                    106,                 1.6482,                 1.7334,                 1.6092,                0.74265,                0.19098,                0.19438,                0.10533,                 1.5905,                 1.9429,                 1.6192,              0.0011201,              0.0011201,              0.0011201
                    107,                  1.697,                 1.8146,                 1.6395,                0.47994,                0.24798,                0.19488,                0.10336,                 1.6153,                 2.1215,                   1.65,              0.0011188,              0.0011188,              0.0011188
                    108,                 1.6744,                 1.7381,                 1.6006,                0.55269,                0.26301,                0.19969,                0.11148,                 1.5424,                 1.9014,                 1.5875,              0.0011176,              0.0011176,              0.0011176
                    109,                 1.6476,                 1.7212,                 1.5737,                 0.4989,                0.20005,                0.16761,                0.08763,                 1.6289,                 1.9526,                 1.6365,              0.0011164,              0.0011164,              0.0011164
                    110,                 1.6809,                 1.7953,                 1.5965,                0.49234,                0.24065,                0.19059,                0.10294,                 1.5951,                 1.8457,                 1.6079,              0.0011151,              0.0011151,              0.0011151
                    111,                 1.6463,                 1.7439,                 1.5815,                0.27447,                 0.2404,                0.18213,                0.09117,                 1.6231,                 1.9249,                 1.6251,              0.0011139,              0.0011139,              0.0011139
                    112,                  1.695,                  1.779,                 1.6155,                  0.455,                0.26812,                0.20082,                0.11164,                 1.5833,                 1.8346,                 1.6104,              0.0011126,              0.0011126,              0.0011126
                    113,                 1.6518,                 1.7361,                 1.5951,                0.23132,                0.23619,                0.18374,                0.09821,                 1.5876,                 1.9413,                 1.6132,              0.0011114,              0.0011114,              0.0011114
                    114,                 1.6775,                  1.736,                 1.6221,                0.58579,                 0.2309,                0.19513,                0.10128,                 1.6538,                 1.9439,                 1.6597,              0.0011102,              0.0011102,              0.0011102
                    115,                  1.707,                 1.7954,                  1.607,                0.45395,                0.29772,                0.18565,                0.09772,                 1.6104,                 2.0481,                  1.611,              0.0011089,              0.0011089,              0.0011089
                    116,                 1.6291,                 1.7027,                 1.5672,                0.56534,                0.23231,                0.20697,                0.11191,                 1.5555,                 1.7575,                   1.59,              0.0011077,              0.0011077,              0.0011077
                    117,                 1.6156,                 1.6734,                 1.5683,                  0.465,                0.25407,                0.19535,                 0.1122,                 1.5232,                 1.9512,                 1.5621,              0.0011065,              0.0011065,              0.0011065
                    118,                 1.6574,                 1.7135,                 1.6023,                0.48481,                0.27539,                0.19966,                0.10238,                 1.5831,                 1.8637,                 1.5998,              0.0011052,              0.0011052,              0.0011052
                    119,                 1.6638,                 1.7059,                 1.5964,                0.51511,                0.28027,                0.20478,                0.11783,                 1.5073,                 1.7737,                 1.5436,               0.001104,               0.001104,               0.001104
                    120,                 1.6182,                 1.7153,                 1.5714,                0.55853,                0.21821,                0.19996,                0.10842,                 1.5543,                 1.7858,                 1.5909,              0.0011027,              0.0011027,              0.0011027
                    121,                 1.6107,                 1.6369,                 1.5661,                 0.4749,                0.22451,                0.19191,                0.10248,                 1.6149,                 1.7916,                 1.6323,              0.0011015,              0.0011015,              0.0011015
                    122,                  1.642,                 1.6848,                 1.5974,                0.51623,                0.28754,                0.21381,                0.11839,                  1.537,                 1.8345,                 1.5806,              0.0011003,              0.0011003,              0.0011003
                    123,                 1.6277,                 1.6493,                 1.5751,                0.60211,                0.28357,                0.22667,                0.12948,                 1.5085,                 1.7325,                 1.5505,               0.001099,               0.001099,               0.001099
